,mobile,label
0,95d8197e84882c816e1e294d7bc3d8cd,0.5
1,bd20f22682157c9955b3bf316e66f95d,0.5
2,5f87292fc4e6d684bf567852f1e20905,0.5
3,bff2cff1db0e5321d37f557bed19aecb,0.5
4,f9eb92c51431040512bb07c1a1e9af99,0.5
5,974ed516b6ab087e8378631839e2a7d2,0.5
6,5f6b594df00a73c8e17ce62dab9040f4,0.5
7,84d7671d77b1f6019cce7ed3614423c3,0.5
8,26f3150a3be6a7c3902c84debbb0766e,0.5
9,462564fa87259be102d5c275a8089565,0.5
10,964a6aa38e79bd40a7bb0fec1fae3ef4,0.0
11,e863f295eea84e2f9407d61159097b6f,0.5
12,8aecdffc4f106f3dc68d00dafb5f3744,0.5
13,922d50d70ffbc36f5fa1a11e7a392ef4,0.5
14,6980176205db755301291ed2089f3899,0.5
15,50150f4d02a4c5325c3b52d3ca3a89c7,0.5
16,5619d8cabfbe56e73f46e04a1f83e3a9,0.0
17,399fb67ce7940ac4b397debb9473defa,0.5
18,c0962685f88d33cab8c34d0ba76181f9,0.5
19,ee50e80ba790399a9c62dc2b1d83c9ef,0.5
20,e86fb86c8f4179749d4cb3f9c4f48ba3,0.5
21,eeb278ff0b2c3369fa9046bf330b564d,0.5
22,5945d7570b76aec2a59580496044e70d,0.0
23,4cd88f6b7c375022e31ec483a685a62c,0.5
24,66880f2700de17d876dcce8a1ecef202,0.5
25,224cbff04524b5d901d281b48c059785,0.5
26,d42ceaf6d7d8fa22fb0d6cff09685904,0.5
27,442217d7aa4e90ae8726ce512b55e1fa,0.5
28,0add87a8a70746c5da82fd55c00696bf,0.5
29,17b3889090878455216eeb07f7db75bd,0.5
30,44d236ed195dd57e6954d28551b9c861,0.0
31,715b17b0629f1523c2842b3cf9b5225c,0.5
32,14348b65457dd399ad471c7492465329,0.5
33,ce735c866ebb55d4a31edcb285794e11,0.5
34,6fdfc5d3517cea6fb2fd505a06385cc0,0.0
35,1ae2eb7fe177f2663369d2d4b2c76da0,0.5
36,87d43aef0229fa8b3913e4e8a925738b,0.5
37,f24ecdfdd0bf0fa9b77b9979fd1a9169,0.5
38,62ceac4b64b051ff272d89a4c7fa6fde,0.5
39,a5945da25d7b3d1924b95a0ef88936b3,0.5
40,cee95776daead875373e50d6c647d88a,0.5
41,3d615f2e4c6ee087dba4c849fc01529e,0.5
42,66fba73fc8ca8d70b3a885f07ad180f7,0.5
43,793441a52b59ce776234ea6b456db17f,0.5
44,b0d71bd3db2d4bff8915fc850cb8c7ec,0.5
45,759e3f2205da9e33b1d56dcfb8247bda,0.5
46,6d0ddc74177fd01c909f390135e028cd,0.5
47,42d8f781d7f1529f494ecf49f72232d4,0.5
48,00310fdc5239ea5fa19807631d9170e6,0.5
49,7a15a7872aea59ded162819dddf9c2f8,0.5
50,b4080ad1da79f280432eb7c8020e7653,0.5
51,a36efb4abc0cae3a219aa1497931cc22,0.5
52,9c5aaef49f29bde50b8e21b206079128,0.5
53,d8fc461d51bfba92b2d8064d6d26f1cc,0.5
54,c2e8e89aeaa7bc2397c2d93eea4c2755,0.5
55,c6781ec7a8de7ac89c64484d4819de9f,0.5
56,b2a08c8d59b6460f106211fb3309ab7c,0.5
57,13a6e581ad6b566546c0ac0e43ff2082,0.5
58,7f2b6948158ff9251dbb42a35ee9951a,0.5
59,580f41ab557c8f14d67c81dfe79a80c6,0.5
60,7858928d20c581ae1476a4cef00ea0f8,0.5
61,0cdac461ca4dea8671c646673d60cc38,0.5
62,1d370e82cf079664a0d0e8a708899eec,0.5
63,30d4b33d1435217b869d68690925efad,0.5
64,2995b58f4b7c7f95266e465fd5cac90d,0.5
65,0c732f3dc7602d5e0fd393be947050d3,0.0
66,83bf70c2ba79bcb90fbfb7473d1c573f,0.5
67,126c9fbbee26ba554b3d6ef7a5c3d1da,0.5
68,0e2a995cc90abc7eb9e38c3efdde933a,0.5
69,f5a4a048fd40fc8b94c4e72feead4668,0.5
70,d8e633d7bc28d693c657250350cbd0a8,0.5
71,01c8e4e63a3b2cde4a98dfb5d4ef6185,0.5
72,94e46119b1dc51cc76809594a34f8ff6,0.5
73,7c208e3c40081976b2fa201505e8b233,0.5
74,5b768c4d86079610a485647cab527d77,0.0
75,74e7b3e8ff77bf7b24ae4b0a8d52cfb0,0.5
76,a21c22b5c49d455e74eb983ce2a616ce,0.0
77,5fa0e119fcd6fe4f9e0d9dbb122007e7,0.5
78,5a8b4965cb58cebe3fd6a342145b85d9,0.5
79,6f690e7cb42c7f9650a38a90a7eea343,0.5
80,8588fbbe5c41456e821510af1951b1b2,0.5
81,2b4f5e04b7ddb1b9f7f0ee2cb25f6d12,0.5
82,1d2039834dea4abebd65904ccf83fadd,0.5
83,275f1c5a6449227f03941704d436d1f4,0.5
84,fb6298fba4958f9b93a9ed2dae36c5af,0.5
85,65cd0ca0b1ebc5ce92fec585fb38e6db,0.5
86,ca4eca24ebbf52493ec7694a91c510fe,0.5
87,29d7172ad38beacec86f953d7afe2a93,0.5
88,9f4bf86936c2dc99ad5196faa3c8de03,0.5
89,5472852d14427df45e62976bd5ba17d5,0.5
90,da4b27e9467ed92daae2e9c30d900877,0.0
91,ddb8ceb345805ead46afaf9cd4a2bb62,0.5
92,2f7e256e1bcc4a21c35dba3e153152bc,0.5
93,c2c7c93f471c17781d92c0484a0dcdce,0.5
94,b4c8600284790fd1cb4ab1c31f694fde,0.5
95,19db4f9d9ce3bdef7dc14f32b9b48b98,0.5
96,31fc04f2d1ad6ef89a0f0f91f8db83b0,0.5
97,85953dea74bef0e4c2dc04104173c433,0.5
98,d773fa9b78fdcb028f99a311a4238102,0.5
99,8ee6c47d292ac021bc4d7fb3744f1ffd,0.5
100,368c5ae5b258b642a6096bba3cb559e7,0.0
101,fae04fe990dec8ae0cb7b07fb806cb99,0.5
102,49d0d45ff3b681038c5350d6b900b790,0.5
103,26302d0efbaadb0a4ef84d7a2d68866b,0.5
104,6fc162575cb4f9555a881f26d7ea8846,0.5
105,c6fc46c1ca41d7108d8f5d02c01ae6e0,0.5
106,b90c3406e4f211540da3b78447730697,0.5
107,a9ae50ece04aa06bb5833a5bc89c4c79,0.5
108,a7452616ff4e4412cc442727fec29f56,0.0
109,400f2e546c9cb5e235f19cade4ab8ea4,0.5
110,7d58ff303ed87d50739b1fa32accaedf,0.5
111,b30c4599bd97f4f2b5c3d295da806fac,0.5
112,bfd80dea0f7dc40dc7a0bb2e6d233699,0.5
113,10269205739f0fe614a4e115cf990ea1,0.5
114,a65438456bce9f14900e0d3034df2725,0.5
115,74508541036780a4246b995ef2af436d,0.5
116,6f8bc4bc732742e902ebfc585f592565,0.5
117,481397a9a9b7a6570c036362fb4c7b20,0.5
118,8c341b410748b0612b5a52dfeb91d08e,0.5
119,6bd8bef12ed1f6ff1ae3353f0a3fa2d4,0.5
120,96d89055fa46e57529152514e5cdf03e,0.5
121,27814e210740f3db53974012af674da5,0.5
122,fc3824e5ba222ba15e51ddf41076a5df,0.5
123,602a71bb66b76fea742c1bdd9349c4aa,0.5
124,7d8b6bb3366278546692b170b0002576,0.5
125,61b758cdbbf9cee178c2588e86a308ae,0.5
126,8d53c96bde4d4301fe1f729b2080622d,0.5
127,2ea078b5df1611999e206cd4f87fd1d3,0.5
128,0a6e5100bab839c8addb95839633192c,0.5
129,352e0864eba29d6333e7079dc890b33b,0.5
130,96b6f9f6cd8b6b89e1aec6e6d82474f2,0.5
131,67f96192a97724699c993bdd04bd9167,0.5
132,300b69a0515ac52a52a79259f76d80cf,0.5
133,d1f9b004d80e100db4003fd262bb962a,0.5
134,2124588b042745a072ffcdc96e6364e0,0.5
135,7eb2de95a1ea5b94d0fdb22c0560d8e0,0.5
136,9c17158312099a2f624f7190d8b07abb,1.0
137,ff40f1b88ac86e9d7094d8ee28226ea7,0.5
138,d51f836976f48dc95b5e4479ba7bc33f,0.0
139,ac3b3bf54e54e3b217ad6661938ca585,0.5
140,e3923f761cf070e254097cdca46a6b0b,0.5
141,19fc225f324fd7768ce1f9ad1359b685,0.5
142,58882c7c5f101f6870aaa89135921048,0.5
143,7922681a4cf35d9f33b1e23b0e1e9b2d,0.0
144,38e148a3513af0fe766a4398a1d0c893,0.5
145,4b1a7cd2c9cf53a906032dfabbc5fa2d,0.5
146,b109724dc3ec528cfe6868ac9cf8d996,0.0
147,b606828839daea05ff5d59881a73c266,0.5
148,99af7556f4d2eab8e1900fb763ac003d,0.5
149,fe0b1a53d434b1fe0ebf9f43fda98aba,0.0
150,70216a869e758ebdaab1e03d78fcebad,0.5
151,46f2a2eb644c36d78394592575d53815,0.5
152,2883437b7dd217fd824dbb8b29b5f0bc,0.5
153,aa20ac89f17fc3f16b66df2b60db7a75,0.5
154,90b08caa302c25cbbd5b87b2e4b7562a,0.5
155,ad7b95016e69ecc0d98d6afc7e3deea0,0.5
156,a8eb6871395c0b2d5e9f3b102e926874,0.5
157,f5fcef894ffa567fe28f43c5336c91a1,0.5
158,18c94f8c8d47a0a1c5ca4ffe447167a8,0.5
159,0d0f1a225a52636721d2d4da43720e8c,0.5
160,9b3a626f5ea170f322398412e650faa4,0.5
161,30f23cfc3125601ce42b5d14e9f83b4d,0.5
162,4854e7f7166416fcbd6721b56739e9a1,0.5
163,9697d4f754c757166af74e5145b02688,0.5
164,a4a8ca489f333d4497d5b00de8610d7b,0.5
165,3108b572cbdb803d0327c2e37ea4a3fa,0.5
166,89a0fad9370e4609d6f1e3c269797421,0.0
167,aa90ab75daf969c3aa77531666892e51,0.5
168,93e31e5602c820cebc317b80461948e7,0.5
169,6ba971627c9e9674adda88e50d814097,0.5
170,700637d94e55a661d8288788bd885425,0.5
171,35235b035df31988ee27d935478cac18,0.5
172,ec9a42e7dd20850387998310571cb548,0.5
173,d5fc5c9455e5a8a82c93eb864a57a1f4,0.5
174,15fbffbae3caae2965a4b56122cd5213,0.5
175,624a4d70b34517ec2b2e130783112ff1,0.5
176,5ac956e352e5e98df0735fbddec718ae,0.5
177,247b186af471eda3eae0b9ea43286d33,0.5
178,b724191dbee8ef9db6fe2f6f5b058664,0.5
179,d819e9967711693791f0ce5c123a0a79,0.5
180,744e1b689e63d0ee89fc2ce8501c2e7a,0.0
181,b7156eb5ee88cbfd21a1164e14885cdc,0.5
182,86949f03f8ce3d134f56858c8fef7c67,0.5
183,73af3d38a06183a8c0f4af30a9b7361a,0.5
184,56a16baacc97a5ec643f1f9f7f04a94a,0.0
185,80d1000ddce360a27b7fd57028293440,0.5
186,c50d0897f4b1898fbd0cf12077d8c529,0.5
187,9a316ed8411d00ad0c3599b748242322,0.5
188,67780ba606941a88f7e3bdb043a2fb21,0.5
189,4ecedf09258e6158c24c9d023e52662a,0.5
190,429c1394fae5df0acf79e685a1bfaac5,0.5
191,c29ef86124af8e729b928566694fc28d,0.5
192,a0a07cc261e1bcc6ac689ef204275c23,0.5
193,a20706f7a21dbbe27cc9fdca54e39be3,0.5
194,e3a92f6d0718a4b7fc896752899f8db2,0.5
195,f9fd3f1bdfcd40b0c03614ad044ee14f,0.5
196,7c60d1533aa060a5874c99661fd7743b,0.5
197,d79a5a97c23b3fcede7b12d2e51db4e6,0.5
198,5ff296dda8fdd71fd5476e89601e712a,0.5
199,847f2c16c8622b84903b733b9a611ed1,0.5
200,e9dfe2ccacb3827041d443f8a1720985,0.0
201,de1cc47a9bfb9053f088ab7deeff8908,0.5
202,4586d5b23b500f2c24cb856ec567645c,0.5
203,b77e4a7704856bc2e05e7c683254c3c7,0.5
204,a45390d3db3e510a0a7073bedc01a21b,0.5
205,6171da5cdcc661d62a413e073c3ead7d,0.5
206,768eb0dbc8a4e03656e97724bb51e0da,0.5
207,30a51da6fc1b116314e1883593409171,0.5
208,a792c9ebef810dc724f460b47c3643ce,0.5
209,840e6751e4b8e6924f1d46dc9d8cfd84,0.5
210,8e6cc93a7c65f96f9f77b97660a79915,0.0
211,1348e426b0281dc79beb8222a5edd585,0.5
212,c3774f4c1dbe5ae098bd3788446ed0ad,0.5
213,98c183e450caee6db423abdb767eb8a8,0.5
214,4f78cc10d10c4a2bbf3aaa295090dbd1,0.5
215,9b928a93fac21db0b21fd4f2dd1ba311,0.5
216,7c35045dab070ed6054b544c2ea6189c,0.5
217,f7565279da9b09c3eec065946f24d8d6,0.5
218,2b75464ee9e3f1d31dead9d48939fac9,0.5
219,46ed4f0b40999d99d9ca6e2cd8e61651,0.5
220,3273bedefcb298e2ef93c270f6a970aa,0.5
221,8410cadbe1c3e9c020f0faa1f2987b6a,0.5
222,74732b7655651b8e6fa11db3f26a6f53,0.5
223,9b81b869e9dacf2f3dec8848a43af476,0.5
224,f1152ba491d654091fbd843fe94c3941,0.5
225,6e433d776d50ce44b34c46a601eedf61,0.5
226,c92823f43a63e7c8bd774e69bed492eb,0.5
227,7515a8a947b1f7088038618356965053,0.5
228,cb49f56f25f62e038db4e5a45f60b87e,0.5
229,121e8dbbc707dbf096cd6f1c2a14c39f,0.5
230,9783bcb7e03b0e17e9621b61b67213c4,0.5
231,cf7d9b27eecf1d1d05e5afd67684f68b,0.5
232,eff4e927d66bcc062f3202b0178f8874,0.5
233,cc988a8900b4a4ce1136c24a735675a5,0.5
234,747f2067bca85aae33402fe9f599240e,0.5
235,030553816cd932ef2a65ceb3b19a4f81,0.5
236,77848c2ef6b145be81d369eb7674b11f,0.5
237,e516e02e77b1b385b76d068111d98b71,0.5
238,c8170cd4c6662c15aed1acf9b2d4d700,0.5
239,83cc3db4515fd3eaf9726cec55aac4cb,0.5
240,c1a4e3e44468959a78a24eacd1a08451,0.5
241,55239dfe764b4a10a79ff27b8c5223d5,1.0
242,41c949ee567055754f97c9fecf76dfa5,0.5
